PK,SK,DESCRIPTION
BLACKLIST_URL,http://www.h74e.xyz/,OpenPhish
BLACKLIST_URL,http://www.x80w.xyz/,OpenPhish
BLACKLIST_URL,https://wpner.cc/IhSmCeXL/?cadeaux-de-noel-amazon-2025.html,OpenPhish
BLACKLIST_URL,http://www.r31x.xyz/,OpenPhish
BLACKLIST_URL,http://www.p34l.xyz/,OpenPhish
BLACKLIST_URL,http://sync-bybit.one/,OpenPhish
BLACKLIST_URL,https://w49q.xyz/,OpenPhish
BLACKLIST_URL,https://store.workshops-design.com/profiles/skins/,OpenPhish
BLACKLIST_URL,https://a66g.xyz/,OpenPhish
BLACKLIST_URL,https://h85k.xyz/,OpenPhish
BLACKLIST_URL,https://x92l.xyz/,OpenPhish
BLACKLIST_URL,http://r36r.xyz/,OpenPhish
BLACKLIST_URL,http://ebay-c.com/,OpenPhish
BLACKLIST_URL,http://84673.xyz/,OpenPhish
BLACKLIST_URL,http://www.x51s.xyz/,OpenPhish
BLACKLIST_URL,http://maison-orbey.de/wp-content/plugins/xleet/b/g/index2.php,OpenPhish
BLACKLIST_URL,http://www.p33f.xyz/,OpenPhish
BLACKLIST_URL,https://store.communityshopitem.com/workshop/AWP-AncientHeritage/,OpenPhish
BLACKLIST_URL,https://dukungjobsumkmmitra.com/m/user/orderList,OpenPhish
BLACKLIST_URL,http://columbophile.028426.com/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a,OpenPhish
BLACKLIST_URL,https://surl.li/qyiiat,OpenPhish
BLACKLIST_URL,http://methamaskeslugiysss.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://naveshwar2123.github.io/NetFlix-Clone/,OpenPhish
BLACKLIST_URL,https://clik.lasada.digital/,OpenPhish
BLACKLIST_URL,http://higress.sunqb.com/,OpenPhish
BLACKLIST_URL,https://harshini-m30.github.io/Amazon_Web_Clone-main/,OpenPhish
BLACKLIST_URL,https://kumariyedla.github.io/Netflix-webpage/,OpenPhish
BLACKLIST_URL,https://baitlesssimulation.github.io/baitless/,OpenPhish
BLACKLIST_URL,https://om-verse.github.io/Amazon-UI-Clone/,OpenPhish
BLACKLIST_URL,https://ledhgy93jf-ds.pages.dev/,OpenPhish
BLACKLIST_URL,https://vanshika-official.github.io/Amazon.clone/,OpenPhish
BLACKLIST_URL,http://vanshika-official.github.io/Amazon.clone,OpenPhish
BLACKLIST_URL,https://ledhgyr-0dd3jfd.pages.dev/,OpenPhish
BLACKLIST_URL,http://www.j134p.xyz/,OpenPhish
BLACKLIST_URL,http://www.b215g.xyz/,OpenPhish
BLACKLIST_URL,https://findmy-i.cloud/help?Lvf,OpenPhish
BLACKLIST_URL,http://findmy-i.cloud/Lvf,OpenPhish
BLACKLIST_URL,http://trust-bybit.one/,OpenPhish
BLACKLIST_URL,http://dbanks.vercel.app/,OpenPhish
BLACKLIST_URL,https://www.roblox.com.ml/users/6792535517/profile,OpenPhish
BLACKLIST_URL,http://preferences.webaccess-email.com/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a,OpenPhish
BLACKLIST_URL,http://gagajazz.com/BenX/67961/Login.html,OpenPhish
BLACKLIST_URL,https://httpss-www-roblox.com/users/83771006/profile,OpenPhish
BLACKLIST_URL,http://en-web3.xyz/,OpenPhish
BLACKLIST_URL,http://accounts.google.cygn.eu.org/,OpenPhish
BLACKLIST_URL,http://gemini.dkocean.com/,OpenPhish
BLACKLIST_URL,https://store.communityartsworkshops.com/workshop/AWP-AncientHeritage/,OpenPhish
BLACKLIST_URL,https://store.communityshopitems.com/workshop/eternal-decay/,OpenPhish
BLACKLIST_URL,http://am40.1.com.ar/,OpenPhish
BLACKLIST_URL,https://orange97.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://www.orange97.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://staynguest.com/5671773466,OpenPhish
BLACKLIST_URL,https://076c2b1f0e43eeb23a5943ab6677c570.pages.dev/,OpenPhish
BLACKLIST_URL,http://www.herokuappm.com/,OpenPhish
BLACKLIST_URL,https://conbase-appauthsignweb-helpdashboardinc.duia.ro/jarg?c_ds_na=KvWtfvv0o5HVTtQm0SZLSccF7Q9MmoQTNWF5ZdZzOy&c_ds_no=%2A%2F%2A,OpenPhish
BLACKLIST_URL,http://conbase-appauthsignweb-helpdashboardinc.duia.ro/,OpenPhish
BLACKLIST_URL,http://ruxbl-2new.blogspot.com/,OpenPhish
BLACKLIST_URL,https://j231o.xyz/,OpenPhish
BLACKLIST_URL,https://steamcomnmunlity.com/tradeofer/new/?partner=216937179&token=-XvYio4992s1124F212,OpenPhish
BLACKLIST_URL,https://pusat-bantuan-pengguna-dana.mooo.com/,OpenPhish
BLACKLIST_URL,http://365kjump.cc/,OpenPhish
BLACKLIST_URL,https://84643.xyz/,OpenPhish
BLACKLIST_URL,https://wheatsapp.us.cc/,OpenPhish
BLACKLIST_URL,http://www.syriatel.gamefy.io.proxy.openvpn-ssh.com/,OpenPhish
BLACKLIST_URL,http://j231z.xyz/,OpenPhish
BLACKLIST_URL,https://www.roblox.com.ht/games/102168567330694/Character-Talk?privateServerLinkCode=333129877373645681333533797747,OpenPhish
BLACKLIST_URL,https://suporteapp-i.cloud/expire/?5,OpenPhish
BLACKLIST_URL,http://suporteapp-i.cloud/,OpenPhish
