PK,SK,DESCRIPTION
BLACKLIST_URL,http://365.505-606-707-808-909.canvbot.cn/betx/,OpenPhish
BLACKLIST_URL,http://netfimarketing.com/tde30e272t540c475fa9057c118s9ec03551.html,OpenPhish
BLACKLIST_URL,https://ipfs.io/ipfs/bafybeibpmuu4kmzgpvuboaeuqzia6jivzzxipx2cbruzvozskr2apfh42e,OpenPhish
BLACKLIST_URL,https://emailupdatechecking.weebly.com/,OpenPhish
BLACKLIST_URL,https://www.roblox.com.ml/users/7400871224/profile,OpenPhish
BLACKLIST_URL,https://tellmeyourpasswordneverchangeditandletbethedeprimarypassword.surge.sh/AllDO.html?eta=3mail@a.b.c0,OpenPhish
BLACKLIST_URL,https://eandmenergy.com/kig/wen/,OpenPhish
BLACKLIST_URL,https://wewe001.bitbucket.io/,OpenPhish
BLACKLIST_URL,http://wwwwroblox.com/discovers,OpenPhish
BLACKLIST_URL,http://flexprox.cc/go/13c413/y29403,OpenPhish
BLACKLIST_URL,https://xfrmdnssnna.hxsze.web.id/,OpenPhish
BLACKLIST_URL,https://s4automation.net/asset/x39kfL4nW8zA2qRBmD71uyN0hgPKXtYVaFevLsMd9cpEJqGrHwZUt73oXLyCmNQkb5vOa8R!nzFs6JDqTGa/,OpenPhish
BLACKLIST_URL,http://idyllic-entremet-92bd78.netlify.app/forgot-password-or-usernsme,OpenPhish
BLACKLIST_URL,https://www.robiox.com.ua/users/5723032459/profile,OpenPhish
BLACKLIST_URL,https://store.workshopmodviews.com/sharedfiles/filesdetails/id=3564529372/,OpenPhish
BLACKLIST_URL,http://udev.informedgreetings.com/,OpenPhish
BLACKLIST_URL,https://87468.xyz/,OpenPhish
BLACKLIST_URL,http://roblox.com.ge/users/4587284650/profile,OpenPhish
BLACKLIST_URL,http://appleallpay.github.io/,OpenPhish
BLACKLIST_URL,http://roblox.com.ge/users/1322190005/profile,OpenPhish
BLACKLIST_URL,http://pancake-financesnow.vercel.app/,OpenPhish
BLACKLIST_URL,https://matmkzlogons.gitbook.io/,OpenPhish
BLACKLIST_URL,https://ipfs.io/ipfs/bafkreibxxuhu2sqid7otarnjohoquhqfmtl2jjusd7fbwm7hs5foqun26e,OpenPhish
BLACKLIST_URL,https://whatlsapp.us.cc/,OpenPhish
BLACKLIST_URL,http://upholed_logiinus.godaddysites.com/,OpenPhish
BLACKLIST_URL,http://pub-b7042861fe7b43dc904a519d193ca7c2.r2.dev/index.html,OpenPhish
BLACKLIST_URL,https://site-idx.biz.id/www.dbs.id/,OpenPhish
BLACKLIST_URL,http://app.jotform.com/251594554689575,OpenPhish
BLACKLIST_URL,https://leia-santander.vercel.app/,OpenPhish
