label,text
ham,Buy now and receive a special discount
spam,Click here to win a prize
spam,Your computer has a virus.
spam,Discover how to lose weight quickly
ham,You need help with your homework.
spam,Make money from home effortlessly
spam,Claim your inheritance from a distant relative
spam,Improve your sexual performance with this product
ham,Please respond to this survey
spam,Invest in this unique opportunity and get rich
ham,Share this message with your friends
spam,Get a loan easily without credit verification
spam,"Congratulations, you've won a new phone."
spam,We need to check your bank account.
spam,Learn English in just 10 days
ham,Thank you for your purchase.
spam,He works from home and earns a lot of money.
spam,This is an important message from your bank.
spam,Increase your size with these miracle pills
ham,"Hi, I'm your neighbor and I need a favor."
spam,You have been selected for an exclusive offer
spam,Download this software for free now
spam,Meet hot singles in your area
ham,Please confirm your subscription
spam,Get a 50% discount on your next trip
spam,Your package is ready to be picked up.
ham,Join our discount club
spam,Click to see pictures of naked people
spam,We need to update your personal information
spam,Buy medicines without a prescription
ham,"Hi, I'm your childhood friend."
spam,Win a $100 gift card
spam,This product will make you feel younger
ham,Please donate to this important cause.
spam,You've won an all-inclusive trip.
spam,Download this free ringtone
spam,Click to see the most fun video
spam,You need this life insurance right now.
ham,Please help me find my lost pet.
spam,Get access to free movies online
spam,Do this IQ test and be surprised.
ham,Thank you for your interest in our services
spam,Multiply your income with this affiliate program
ham,"I miss you, and I want to see you."
spam,Get your free credit report
spam,This miracle product will remove your wrinkles
spam,Please complete this offer to continue
spam,Click to download music for free
spam,Learn how to invest in cryptocurrencies now
ham,I'm in trouble. Please send me money.
ham,Update your contact information
spam,Earn extra money from home
spam,Your account has been temporarily blocked
ham,I need your help urgently.
spam,Receive a welcome bonus when registering
ham,This is a reminder of your medical appointment.
spam,Lose weight effortlessly with this supplement
spam,Click to claim your prize
ham,Thank you for being a valuable customer.
spam,Invest in bitcoin and become a millionaire
ham,Your order has been shipped
spam,Get a loan online instantly
spam,"Hi, I'm a Nigerian prince and I need your help."
spam,Congratulations you've been selected for a paid survey
ham,I'm sorry to inform you that your application has been rejected.
spam,Increase your energy and libido with these natural pills
ham,Your subscription will expire soon
spam,Win a free iPhone by taking part in this draw
spam,We need to verify your payment information
ham,Thank you for contacting our support team
spam,Click to see this person's private photos
